band,limit_range,count,type
J0378,14.0,504925,dual
J0395,14.0,504958,dual
J0410,14.0,505912,dual
J0430,14.0,506245,dual
J0515,14.0,507385,dual
J0660,14.0,509980,dual
J0861,14.0,508342,dual
i,14.0,512178,dual
r,14.0,535987,dual
u,14.0,504817,dual
z,14.0,508614,dual
g,14.0,508486,dual
J0378,15.0,896271,dual
J0395,15.0,896458,dual
J0410,15.0,898743,dual
J0430,15.0,899667,dual
J0515,15.0,902605,dual
J0660,15.0,905658,dual
J0861,15.0,903778,dual
i,15.0,908592,dual
r,15.0,933275,dual
u,15.0,896168,dual
z,15.0,903340,dual
g,15.0,904907,dual
J0378,16.0,1515215,dual
J0395,16.0,1509877,dual
J0410,16.0,1524096,dual
J0430,16.0,1528385,dual
J0515,16.0,1537536,dual
J0660,16.0,1543123,dual
J0861,16.0,1539856,dual
i,16.0,1547866,dual
r,16.0,1592939,dual
u,16.0,1514424,dual
z,16.0,1538757,dual
g,16.0,1543233,dual
J0378,17.0,2294837,dual
J0395,17.0,2221769,dual
J0410,17.0,2437605,dual
J0430,17.0,2476000,dual
J0515,17.0,2530806,dual
J0660,17.0,2548277,dual
J0861,17.0,2541324,dual
i,17.0,2556446,dual
r,17.0,2685096,dual
u,17.0,2321601,dual
z,17.0,2539740,dual
g,17.0,2543134,dual
J0378,18.0,2556156,dual
J0395,18.0,2308239,dual
J0410,18.0,3166854,dual
J0430,18.0,3438764,dual
J0515,18.0,4008974,dual
J0660,18.0,4086241,dual
J0861,18.0,4071834,dual
i,18.0,4101195,dual
r,18.0,4607474,dual
u,18.0,2689956,dual
z,18.0,4068775,dual
g,18.0,4058488,dual
J0378,19.0,2141237,dual
J0395,19.0,1628418,dual
J0410,19.0,2795308,dual
J0430,19.0,3330661,dual
J0515,19.0,6026011,dual
J0660,19.0,6761099,dual
J0861,19.0,6706557,dual
i,19.0,6784296,dual
r,19.0,7892588,dual
u,19.0,2390750,dual
z,19.0,6720412,dual
g,19.0,6562515,dual
J0378,20.0,1352652,dual
J0395,20.0,858615,dual
J0410,20.0,1571096,dual
J0430,20.0,1976788,dual
J0515,20.0,5995336,dual
J0660,20.0,11239127,dual
J0861,20.0,10775940,dual
i,20.0,11293387,dual
r,20.0,12918796,dual
u,20.0,1622491,dual
z,20.0,11009297,dual
g,20.0,9338501,dual
J0378,21.0,703451,dual
J0395,21.0,491607,dual
J0410,21.0,707387,dual
J0430,21.0,879119,dual
J0515,21.0,2933011,dual
J0660,21.0,16063767,dual
J0861,21.0,12695942,dual
i,21.0,16636378,dual
r,21.0,19868064,dual
u,21.0,850318,dual
z,21.0,14345946,dual
g,21.0,8127272,dual
J0378,22.0,503255,dual
J0395,22.0,423555,dual
J0410,22.0,446801,dual
J0430,22.0,500317,dual
J0515,22.0,1067485,dual
J0660,22.0,12016045,dual
J0861,22.0,7158586,dual
i,22.0,13520636,dual
r,22.0,25475137,dual
u,22.0,565589,dual
z,22.0,9136144,dual
g,22.0,3947418,dual
J0378,23.0,197158,dual
J0395,23.0,171028,dual
J0410,23.0,156345,dual
J0430,23.0,164449,dual
J0515,23.0,251835,dual
J0660,23.0,2372383,dual
J0861,23.0,1227243,dual
i,23.0,2829138,dual
r,23.0,10700772,dual
u,23.0,225870,dual
z,23.0,1600560,dual
g,23.0,1032572,dual
J0378,24.0,37214,dual
J0395,24.0,32735,dual
J0410,24.0,29693,dual
J0430,24.0,30196,dual
J0515,24.0,40001,dual
J0660,24.0,258651,dual
J0861,24.0,137186,dual
i,24.0,319759,dual
r,24.0,1937566,dual
u,24.0,43450,dual
z,24.0,174824,dual
g,24.0,143401,dual
