field,band,peak,snr_value
SPLUS-s23s16.fits,J0378,19.908354,3
SPLUS-s23s16.fits,J0378,18.755802,5
SPLUS-s23s16.fits,J0378,18.055687,10
SPLUS-s23s16.fits,J0378,16.904848,50
SPLUS-s23s16.fits,J0395,19.633686,3
SPLUS-s23s16.fits,J0395,19.075462,5
SPLUS-s23s16.fits,J0395,17.631851,10
SPLUS-s23s16.fits,J0395,16.531408,50
SPLUS-s23s16.fits,J0410,19.554302,3
SPLUS-s23s16.fits,J0410,17.956661,5
SPLUS-s23s16.fits,J0410,18.166882,10
SPLUS-s23s16.fits,J0410,16.305748,50
SPLUS-s23s16.fits,J0430,19.525932,3
SPLUS-s23s16.fits,J0430,18.720984,5
SPLUS-s23s16.fits,J0430,18.165096,10
SPLUS-s23s16.fits,J0430,16.197826,50
SPLUS-s23s16.fits,J0515,19.648245,3
SPLUS-s23s16.fits,J0515,19.339443,5
SPLUS-s23s16.fits,J0515,18.407051,10
SPLUS-s23s16.fits,J0515,16.097038,50
SPLUS-s23s16.fits,J0660,20.780088,3
SPLUS-s23s16.fits,J0660,19.62117,5
SPLUS-s23s16.fits,J0660,18.91201,10
SPLUS-s23s16.fits,J0660,17.583801,50
SPLUS-s23s16.fits,J0861,19.349823,3
SPLUS-s23s16.fits,J0861,18.796856,5
SPLUS-s23s16.fits,J0861,17.546576,10
SPLUS-s23s16.fits,J0861,16.286163,50
SPLUS-s23s16.fits,i,20.429789,3
SPLUS-s23s16.fits,i,19.709133,5
SPLUS-s23s16.fits,i,19.02938,10
SPLUS-s23s16.fits,i,17.639954,50
SPLUS-s23s16.fits,r,20.75367,3
SPLUS-s23s16.fits,r,19.955408,5
SPLUS-s23s16.fits,r,19.16848,10
SPLUS-s23s16.fits,r,17.691372,50
SPLUS-s23s16.fits,u,19.91949,3
SPLUS-s23s16.fits,u,19.459724,5
SPLUS-s23s16.fits,u,18.709778,10
SPLUS-s23s16.fits,u,17.183582,50
SPLUS-s23s16.fits,z,19.857437,3
SPLUS-s23s16.fits,z,19.207634,5
SPLUS-s23s16.fits,z,18.585445,10
SPLUS-s23s16.fits,z,16.270866,50
SPLUS-s23s16.fits,g,20.15932,3
SPLUS-s23s16.fits,g,19.416183,5
SPLUS-s23s16.fits,g,19.27708,10
SPLUS-s23s16.fits,g,17.485714,50
SPLUS-s25s60.fits,J0378,20.213688,3
SPLUS-s25s60.fits,J0378,19.56163,5
SPLUS-s25s60.fits,J0378,18.844418,10
SPLUS-s25s60.fits,J0378,16.869976,50
SPLUS-s25s60.fits,J0395,19.730543,3
SPLUS-s25s60.fits,J0395,19.134827,5
SPLUS-s25s60.fits,J0395,18.267008,10
SPLUS-s25s60.fits,J0395,16.008762,50
SPLUS-s25s60.fits,J0410,19.526356,3
SPLUS-s25s60.fits,J0410,18.934958,5
SPLUS-s25s60.fits,J0410,17.50613,10
SPLUS-s25s60.fits,J0410,16.485329,50
SPLUS-s25s60.fits,J0430,19.643646,3
SPLUS-s25s60.fits,J0430,19.2645,5
SPLUS-s25s60.fits,J0430,17.495914,10
SPLUS-s25s60.fits,J0430,16.045265,50
SPLUS-s25s60.fits,J0515,20.028362,3
SPLUS-s25s60.fits,J0515,19.077278,5
SPLUS-s25s60.fits,J0515,18.459505,10
SPLUS-s25s60.fits,J0515,16.837849,50
SPLUS-s25s60.fits,J0660,21.031818,3
SPLUS-s25s60.fits,J0660,20.149897,5
SPLUS-s25s60.fits,J0660,19.307343,10
SPLUS-s25s60.fits,J0660,18.119,50
SPLUS-s25s60.fits,J0861,20.02472,3
SPLUS-s25s60.fits,J0861,19.298151,5
SPLUS-s25s60.fits,J0861,18.430376,10
SPLUS-s25s60.fits,J0861,16.068407,50
SPLUS-s25s60.fits,i,20.696602,3
SPLUS-s25s60.fits,i,19.743006,5
SPLUS-s25s60.fits,i,19.032112,10
SPLUS-s25s60.fits,i,17.56105,50
SPLUS-s25s60.fits,r,21.093803,3
SPLUS-s25s60.fits,r,20.254951,5
SPLUS-s25s60.fits,r,19.326908,10
SPLUS-s25s60.fits,r,18.327946,50
SPLUS-s25s60.fits,u,20.52964,3
SPLUS-s25s60.fits,u,20.063957,5
SPLUS-s25s60.fits,u,19.272865,10
SPLUS-s25s60.fits,u,17.019321,50
SPLUS-s25s60.fits,z,20.458607,3
SPLUS-s25s60.fits,z,19.103096,5
SPLUS-s25s60.fits,z,19.107208,10
SPLUS-s25s60.fits,z,17.402653,50
SPLUS-s25s60.fits,g,21.085533,3
SPLUS-s25s60.fits,g,20.626812,5
SPLUS-s25s60.fits,g,19.397099,10
SPLUS-s25s60.fits,g,17.881718,50
SPLUS-n11s35.fits,J0378,20.310503,3
SPLUS-n11s35.fits,J0378,19.287159,5
SPLUS-n11s35.fits,J0378,18.2836,10
SPLUS-n11s35.fits,J0378,16.954733,50
SPLUS-n11s35.fits,J0395,19.581057,3
SPLUS-n11s35.fits,J0395,19.169178,5
SPLUS-n11s35.fits,J0395,18.419186,10
SPLUS-n11s35.fits,J0395,16.290886,50
SPLUS-n11s35.fits,J0410,20.000872,3
SPLUS-n11s35.fits,J0410,19.377583,5
SPLUS-n11s35.fits,J0410,18.712273,10
SPLUS-n11s35.fits,J0410,16.949406,50
SPLUS-n11s35.fits,J0430,19.855492,3
SPLUS-n11s35.fits,J0430,19.044754,5
SPLUS-n11s35.fits,J0430,17.82595,10
SPLUS-n11s35.fits,J0430,16.811607,50
SPLUS-n11s35.fits,J0515,20.219048,3
SPLUS-n11s35.fits,J0515,19.448,5
SPLUS-n11s35.fits,J0515,18.490643,10
SPLUS-n11s35.fits,J0515,17.028992,50
SPLUS-n11s35.fits,J0660,20.82905,3
SPLUS-n11s35.fits,J0660,20.32549,5
SPLUS-n11s35.fits,J0660,19.274237,10
SPLUS-n11s35.fits,J0660,17.577225,50
SPLUS-n11s35.fits,J0861,19.565903,3
SPLUS-n11s35.fits,J0861,18.702457,5
SPLUS-n11s35.fits,J0861,18.449055,10
SPLUS-n11s35.fits,J0861,16.519428,50
SPLUS-n11s35.fits,i,20.397305,3
SPLUS-n11s35.fits,i,19.886566,5
SPLUS-n11s35.fits,i,19.175243,10
SPLUS-n11s35.fits,i,17.40485,50
SPLUS-n11s35.fits,r,20.933447,3
SPLUS-n11s35.fits,r,20.058262,5
SPLUS-n11s35.fits,r,19.388166,10
SPLUS-n11s35.fits,r,17.84577,50
SPLUS-n11s35.fits,u,20.46441,3
SPLUS-n11s35.fits,u,19.448427,5
SPLUS-n11s35.fits,u,19.073814,10
SPLUS-n11s35.fits,u,17.717903,50
SPLUS-n11s35.fits,z,19.733112,3
SPLUS-n11s35.fits,z,18.93341,5
SPLUS-n11s35.fits,z,18.32819,10
SPLUS-n11s35.fits,z,16.40958,50
SPLUS-n11s35.fits,g,21.067293,3
SPLUS-n11s35.fits,g,20.173717,5
SPLUS-n11s35.fits,g,19.486603,10
SPLUS-n11s35.fits,g,17.870102,50
STRIPE82-0007.fits,J0378,20.230152,3
STRIPE82-0007.fits,J0378,20.02519,5
STRIPE82-0007.fits,J0378,19.168186,10
STRIPE82-0007.fits,J0378,16.839077,50
STRIPE82-0007.fits,J0395,19.922821,3
STRIPE82-0007.fits,J0395,19.149925,5
STRIPE82-0007.fits,J0395,18.428917,10
STRIPE82-0007.fits,J0395,16.727386,50
STRIPE82-0007.fits,J0410,20.054657,3
STRIPE82-0007.fits,J0410,19.552088,5
STRIPE82-0007.fits,J0410,18.611698,10
STRIPE82-0007.fits,J0410,16.234772,50
STRIPE82-0007.fits,J0430,20.371407,3
STRIPE82-0007.fits,J0430,19.67618,5
STRIPE82-0007.fits,J0430,18.522041,10
STRIPE82-0007.fits,J0430,16.741207,50
STRIPE82-0007.fits,J0515,20.091839,3
STRIPE82-0007.fits,J0515,19.14333,5
STRIPE82-0007.fits,J0515,19.033321,10
STRIPE82-0007.fits,J0515,16.239935,50
STRIPE82-0007.fits,J0660,21.053982,3
STRIPE82-0007.fits,J0660,20.330788,5
STRIPE82-0007.fits,J0660,19.23322,10
