band,limit_range,count,type
J0378,14.0,340985,psf
J0395,14.0,344932,psf
J0410,14.0,351763,psf
J0430,14.0,351418,psf
J0515,14.0,356031,psf
J0660,14.0,354840,psf
J0861,14.0,352637,psf
i,14.0,348159,psf
r,14.0,456564,psf
u,14.0,330600,psf
z,14.0,345494,psf
g,14.0,358184,psf
J0378,15.0,766995,psf
J0395,15.0,774817,psf
J0410,15.0,811051,psf
J0430,15.0,818060,psf
J0515,15.0,833052,psf
J0660,15.0,830974,psf
J0861,15.0,829913,psf
i,15.0,837253,psf
r,15.0,1010385,psf
u,15.0,741679,psf
z,15.0,831788,psf
g,15.0,841342,psf
J0378,16.0,1420944,psf
J0395,16.0,1405602,psf
J0410,16.0,1627355,psf
J0430,16.0,1686530,psf
J0515,16.0,1753343,psf
J0660,16.0,1757767,psf
J0861,16.0,1753077,psf
i,16.0,1773134,psf
r,16.0,2153841,psf
u,16.0,1368343,psf
z,16.0,1766817,psf
g,16.0,1775938,psf
J0378,17.0,2026914,psf
J0395,17.0,1841864,psf
J0410,17.0,2622407,psf
J0430,17.0,2860517,psf
J0515,17.0,3279468,psf
J0660,17.0,3318009,psf
J0861,17.0,3298266,psf
i,17.0,3346968,psf
r,17.0,4194270,psf
u,17.0,1959250,psf
z,17.0,3331437,psf
g,17.0,3330192,psf
J0378,18.0,2038373,psf
J0395,18.0,1518936,psf
J0410,18.0,3036173,psf
J0430,18.0,3696935,psf
J0515,18.0,6152991,psf
J0660,18.0,6796138,psf
J0861,18.0,6725341,psf
i,18.0,6879481,psf
r,18.0,9167658,psf
u,18.0,2010596,psf
z,18.0,6835143,psf
g,18.0,6608951,psf
J0378,19.0,1539438,psf
J0395,19.0,1130432,psf
J0410,19.0,2360814,psf
J0430,19.0,3158235,psf
J0515,19.0,8661703,psf
J0660,19.0,13351466,psf
J0861,19.0,12805298,psf
i,19.0,13517361,psf
r,19.0,19271400,psf
u,19.0,1488821,psf
z,19.0,13147599,psf
g,19.0,11064909,psf
J0378,20.0,413039,psf
J0395,20.0,383359,psf
J0410,20.0,843777,psf
J0430,20.0,1046959,psf
J0515,20.0,2904243,psf
J0660,20.0,10944317,psf
J0861,20.0,8598507,psf
i,20.0,11838899,psf
r,20.0,17647708,psf
u,20.0,336077,psf
z,20.0,9662583,psf
g,20.0,6383409,psf
J0378,21.0,28234,psf
J0395,21.0,17779,psf
J0410,21.0,51440,psf
J0430,21.0,72977,psf
J0515,21.0,410270,psf
J0660,21.0,5392862,psf
J0861,21.0,2194246,psf
i,21.0,6543170,psf
r,21.0,11562443,psf
u,21.0,29308,psf
z,21.0,2947726,psf
g,21.0,3750312,psf
J0378,22.0,4298,psf
J0395,22.0,3237,psf
J0410,22.0,2947,psf
J0430,22.0,3116,psf
J0515,22.0,8447,psf
J0660,22.0,422209,psf
J0861,22.0,119017,psf
i,22.0,587367,psf
r,22.0,1856357,psf
u,22.0,4920,psf
z,22.0,176313,psf
g,22.0,330095,psf
J0378,23.0,319,psf
J0395,23.0,262,psf
J0410,23.0,281,psf
J0430,23.0,223,psf
J0515,23.0,286,psf
J0660,23.0,796,psf
J0861,23.0,632,psf
i,23.0,3965,psf
r,23.0,29981,psf
u,23.0,231,psf
z,23.0,1080,psf
g,23.0,1279,psf
J0378,24.0,0,psf
J0395,24.0,0,psf
J0410,24.0,0,psf
J0430,24.0,1,psf
J0515,24.0,0,psf
J0660,24.0,1,psf
J0861,24.0,0,psf
i,24.0,3,psf
r,24.0,32,psf
u,24.0,0,psf
z,24.0,2,psf
g,24.0,0,psf
